URI,RMM_Tool
*.superops.ai,SuperOps
*.superopsalpha.com,SuperOps
github.com/V-E-O/rdp2tcp,rdp2tcp
*.screenmeet.com,ScreenMeet
*.scrn.mt,ScreenMeet
wangwang.taobao.com,AliWangWang-remote-control
remoteutilities.com,RemoteUtilities
*.ultraviewer.net,UltraViewer
ultraviewer.net,UltraViewer
crosstecsoftware.com/remotecontrol,CrossTec Remote Control
mremoteng.org,mRemoteNG
*.fleetdeck.io,FleetDeck.io
fleetdeck.io,FleetDeck.io
agentmqtt.fleetdeck.io,FleetDeck.io
checkip.zmazonaws.com,FleetDeck.io
*.itsm-us1.comodo.com,Comodo RMM
*mdmsupport.comodo.com,Comodo RMM
one.comodo.com,Comodo RMM
app.gorelo.io,Gorelo RMM
gorelo-rmm.azurewebsites.net,Gorelo RMM
gw.usw.gorelo.tech,Gorelo RMM
lr.rmm.pod1.usw.gorelo.tech,Gorelo RMM
public.rmm.pod1.usw.gorelo.tech,Gorelo RMM
r1.rmm.uw.gorelo.tech,Gorelo RMM
sr.rmm.pod1.usw.gorelo.tech,Gorelo RMM
helpbeam.software.informer.com,HelpBeam
tele-desk.com,TeleDesktop
*.baramundi.com,baramundi Management Suite
www.baramundi.com,baramundi Management Suite
docs.baramundi.com,baramundi Management Suite
isodownload.baramundi.com,baramundi Management Suite
*.baramundi.com,baramundi Management Suite
*.gatherplace.com,GatherPlace-desktop sharing
*.gatherplace.net,GatherPlace-desktop sharing
gatherplace.com,GatherPlace-desktop sharing
portal.ehorus.com,Pandora RC (eHorus)
*.iperiusremote.com,Iperius Remote
*.iperius.com,Iperius Remote
*.iperius-rs.com,Iperius Remote
iperiusremote.com,Iperius Remote
*.beyondtrustcloud.com,BeyondTrust (Bomgar)
*.bomgarcloud.com,BeyondTrust (Bomgar)
bomgarcloud.com,BeyondTrust (Bomgar)
gateway.miradore.com,Miradore
*.miradore.com,Miradore
miradore.com,Miradore
gerwconline.blob.core.windows.net,Miradore
*.rmm.datto.com,CentraStage (Now Datto)
*cc.centrastage.net,CentraStage (Now Datto)
datto.com/au/products/rmm/,CentraStage (Now Datto)
royalapps.com,Royal Server
charon.netreo.net,Netreo
activation.netreo.net,Netreo
*.api.netreo.com,Netreo
netreo.com,Netreo
ehorus.com,eHorus
*.action1.com,Action1
a1-backend-packages.s3.amazonaws.com,Action1
*content.rview.com,RemoteView
*.rview.com,RemoteView
content.rview.com,RemoteView
au.pcmag.com/utilities/21470/webex-pcnow,Pcnow
fortra.com,Fortra
cloud.tanium.com,Tanium
*.cloud.tanium.com,Tanium
github.com/stascorp/rdpwrap,rdpwrap
*.analytics.insight.rapid7.com,Rapid7
*.endpoint.ingress.rapid7.com,Rapid7
connect.ngrok-agent.com,ngrok
connect.us.ngrok-agent.com,ngrok
connect.eu.ngrok-agent.com,ngrok
connect.ap.ngrok-agent.com,ngrok
connect.au.ngrok-agent.com,ngrok
connect.sa.ngrok-agent.com,ngrok
connect.jp.ngrok-agent.com,ngrok
connect.in.ngrok-agent.com,ngrok
ngrok.com,ngrok
*.manageengine.com,ManageEngine ServiceDesk Plus
manageengine.com,ManageEngine ServiceDesk Plus
*.rudesktop.ru,RuDesktop
rudesktop.ru,RuDesktop
*.showmypc.com,ShowMyPC
showmypc.com,ShowMyPC
web.laplink.com/product/laplink-gold,Laplink Gold
atled.syspectr.com,Syspectr
app.syspectr.com,Syspectr
*.alpemix.com,Alpemix
*.teknopars.com,Alpemix
ericom.com,Ericom Connect
remotepass.com,RemotePass
pubsub.atera.com,Atera
pubsub.pubnub.com,Atera
agentreporting.atera.com,Atera
getalphacontrol.com,Atera
app.atera.com,Atera
agenthb.atera.com,Atera
packagesstore.blob.core.windows.net,Atera
ps.pndsn.com,Atera
agent-api.atera.com,Atera
agentreportingstore.blob.core.windows.net,Atera
atera-agent-heartbeat.servicebus.windows.net,Atera
ps.atera.com,Atera
atera.pubnubapi.com,Atera
appcdn.atera.com,Atera
*.anysupport.net,Any Support
*search.namequery.com,Absolute (Computrace)
*server.absolute.com,Absolute (Computrace)
plus*.site24x7.com,Site24x7
plus*.site24x7.eu,Site24x7
plus*.site24x7.in,Site24x7
plus*.site24x7.cn,Site24x7
plus*.site24x7.net.au,Site24x7
site24x7.com/msp,Site24x7
goto.com,GoToAssist
*.getgo.com,GoToAssist
*.fastsupport.com,GoToAssist
*.gotoassist.com,GoToAssist
